"number","title","pageid","namespace","length","touched","Wikidata"
"117","6_квітня","1598","","19672","20250405200001","Q2506"
"118","10_квітня","1602","","17844","20250502200337","Q2502"
"119","12_квітня","1604","","36556","20250412185405","Q2499"
"120","14_квітня","1606","","14760","20250406203230","Q2500"
"121","15_квітня","1607","","18406","20250415153005","Q2497"
"122","16_квітня","1608","","21330","20250416105200","Q2519"
"123","21_квітня","1613","","24076","20250423204034","Q2525"
"124","23_квітня","1615","","28474","20250317061851","Q2527"
"125","30_квітня","1637","","11786","20250429211742","Q2536"
"126","1_травня","1638","","19397","20250521202507","Q2544"
"127","1_червня","1639","","19499","20250305111534","Q2625"
"128","31_травня","1640","","15249","20250416105451","Q2591"
"129","30_червня","1641","","18989","20250309145906","Q2657"
"130","5_травня","1647","","14635","20250416102445","Q2550"
"131","8_травня","1650","","28294","20250512070956","Q2555"
"132","15_травня","1657","","16049","20250416104139","Q2562"
"133","19_травня","1661","","10253","20250519183139","Q2578"
"134","21_травня","1663","","17172","20250416104643","Q2580"
"135","24_травня","1666","","18105","20250524052409","Q2584"
"136","25_травня","1667","","15877","20250525145948","Q2585"
"137","28_травня","1670","","14109","20250416105238","Q2588"
"138","30_травня","1672","","17745","20250416105338","Q2590"
"139","3_червня","1674","","12095","20250529111925","Q2623"
"140","8_червня","1679","","18420","20250504082450","Q2621"
"141","12_червня","1683","","18274","20250503194930","Q2619"
"142","19_червня","1690","","12905","20250504191837","Q2669"
"143","21_червня","1692","","15791","20250504083534","Q2671"
"144","23_червня","1694","","11423","20250503195835","Q2668"
"145","4_липня","1703","","13170","20250504192105","Q2698"
"146","5_липня","1704","","17444","20250504225658","Q2696"
"147","7_липня","1706","","14750","20250504191323","Q2694"
"148","11_липня","1710","","10365","20250425141455","Q2701"
"149","12_липня","1711","","15538","20250504155334","Q2688"
"150","13_липня","1712","","28962","20250506115957","Q2687"
"151","16_липня","1714","","21542","20250506120119","Q2731"
"152","17_липня","1715","","20176","20250506120151","Q2729"
"153","19_липня","1717","","14801","20250509082440","Q2726"
"154","20_липня","1718","","18146","20250508073353","Q2728"
"155","23_липня","1721","","14820","20250509083106","Q2722"
"156","24_липня","1722","","16074","20250509083254","Q2721"
"157","26_липня","1724","","21526","20250509083519","Q2723"
"158","27_липня","1725","","19410","20250509083612","Q2719"
"159","28_липня","1726","","14683","20250509083643","Q2718"
"160","Антропологія","1802","","21099","20250417141056","Q23404"
"161","Живопис","1815","","83372","20250125161602","Q11629"
"162","Ісландія","3033","","91195","20250526181257","Q189"
"163","Композитор","3050","","10061","20240912231532","Q36834"
"164","Полтавська_область","3175","","99824","20250428183712","Q169501"
"165","Пласт_(організація)","3187","","149744","20250414121818","Q832664"
"166","Теліга_Олена_Іванівна","3192","","52865","20250507140457","Q2620289"
"167","Чорнобильська_катастрофа","3213","","184782","20250411181354","Q486"
"168","Сполучені_Штати_Америки","3249","","148048","20250419161709","Q30"
"169","Канада","3469","","116038","20250520162000","Q16"
"170","Українська_діаспора","3621","","127972","20250528234339","Q2991257"
"171","Леопольд_фон_Захер-Мазох","3622","","35044","20250403130828","Q78474"
"172","Кіпр","3769","","62217","20250420144617","Q229"
"173","Ахматова_Анна_Андріївна","5727","","42922","20250419073809","Q80440"
"174","Владислав_Андерс","6199","","72586","20250512152618","Q165544"
"175","Українці_Аргентини","6266","","151845","20250331111808","Q1976275"
"176","Антонов-Овсієнко_Володимир_Олександрович","6276","","16142","20250129063939","Q532445"
"177","Пенсільванія","6384","","13809","20241228025626","Q1400"
"178","Аттіла","6423","","24495","20250116102743","Q36724"
"179","Японія","6585","","160709","20250527104601","Q17"
"180","Африка","6659","","361957","20250331195142","Q15"
"181","Балаклійський_район","6954","","46883","20250407055053","Q2995155"
"182","Лозівський_район_(1923—2020)","6955","","23578","20241223075014","Q2632343"
"183","Засядько_Олександр_Дмитрович","7367","","17371","20250325005858","Q1959181"
"184","Миклухо-Маклай_Микола_Миколайович","7369","","155275","20250509083324","Q312499"
"185","Сікорський_Ігор_Іванович","7372","","40370","20250423095910","Q212446"
"186","Відень","7449","","88968","20250529184553","Q1741"
"187","Башкирцева_Марія_Костянтинівна","7496","","29591","20250202212719","Q255253"
"188","Національна_академія_наук_України","7531","","142921","20241208104840","Q958769"
"189","Петро_Війтович","7652","","15281","20240518123240","Q4122768"
"190","Волошин_Максиміліан_Олександрович","7672","","18939","20240811061224","Q358885"
"191","Герасименко_Василь_Пилипович","7694","","15497","20250405181247","Q4135976"
"192","Гнатишин_Андрій","7709","","5565","20250502182726","Q12096277"
"193","Гоголь_Микола_Васильович","7711","","157400","20250402082745","Q43718"
"194","Горбачевський_Іван_Якович","7720","","33990","20241122144218","Q683558"
"195","Гудзій_Микола_Каленикович","7740","","9478","20221127063326","Q4151544"
"196","Повість_временних_літ","7785","","30158","20241210235211","Q192551"
"197","Ігор","7793","","32452","20250523003330","Q1657919"
"198","Українська_мова","7819","","269379","20250525103634","Q8798"
"199","Іпатіївський_літопис","7916","","30762","20250302131111","Q545413"
"200","Ерделі_Адальберт_Михайлович","7985","","33844","20250128100330","Q4532370"
"201","Кащенко_Микола_Феофанович","9066","","54385","20250309103044","Q4218337"
"202","Кістяковські","9585","","3230","20200511175113","Q12116674"
"203","Кошиць_Олександр_Антонович","9615","","48378","20250423130828","Q928525"
"204","Красовський_Андрій_Опанасович","9617","","17848","20250309112004","Q4239773"
"205","Кубійович_Володимир_Михайлович","9624","","32853","20250206182639","Q2377655"
"206","Лисяк-Рудницький_Іван_Павлович","9688","","42777","20250308191002","Q11714520"
"207","Лисянський_Юрій_Федорович","9689","","100658","20250402191329","Q1713896"
"208","Список_українських_енциклопедій","9724","","283862","20250327121052","Q6601336"
"209","Українізм","10034","","149209","20250415100309","Q4470412"
"210","Луганськ","10104","","145924","20250521184738","Q134279"
"211","Стамбул","10142","","65900","20250308135525","Q406"
"212","Австралія","10144","","553511","20250511100314","Q408"
"213","Броди","10250","","392198","20250410181115","Q465104"
"214","Безредка_Олександр_Михайлович","10267","","11016","20250225063223","Q2833461"
"215","Каша_Михайло","10364","","10557","20230917022600","Q6831777"
"216","Кістяківський_Георгій_Богданович","10369","","15484","20250427104102","Q902967"
"217","Месель_Григорій","10439","","6612","20240916182014","Q11171908"
"218","Ніковський_Андрій_Васильович","10457","","30402","20240404184826","Q4320037"
"219","Сальський_Володимир_Петрович","10519","","19928","20231204064559","Q2061443"
"220","Холодний_Микола_Григорович","10568","","22005","20240801132139","Q4499341"
"221","Енеїда_(фільм,_1991)","10640","","14125","20250416171514","Q3054072"
"222","Едвард_Дмитрик","10828","","13579","20240822120752","Q72229"
"223","Житомир","10832","","152858","20250518121828","Q156713"
"224","Холера","10855","","156576","20250527193330","Q12090"
"225","Гайдай_Леонід_Йович","10870","","11260","20250514171654","Q312480"
"226","Реформація","12359","","331286","20250521101400","Q12562"
"227","Українці","12824","","177045","20250522173726","Q44806"
"228","Терористичний_акт_11_вересня_2001_року","13207","","44622","20250410174447","Q10806"
"229","Російська_література","13525","","66250","20250215045057","Q179161"
"230","Яцик_Петро_Дмитрович","13611","","11507","20250216152328","Q4539839"
"231","Гапон_Георгій_Аполлонович","14312","","136913","20240701103300","Q299681"
"232","Орест_Субтельний","14540","","33812","20250411032141","Q1972681"
"233","Пилип_Коновал","14865","","69932","20250421172232","Q2073876"
"234","Вернигора","14888","","18403","20250423001829","Q35007"
"235","Хмельниччина","15536","","103171","20250519182438","Q641479"
"236","Олександр_Ходзько","15543","","6684","20240814105911","Q56705"
"237","Холмщина","15560","","127548","20250511114026","Q2656845"
"238","Хуст","15673","","68129","20250523095933","Q146469"
"239","Ценґлевич_Каспер","15716","","5097","20250416072457","Q11736756"
"240","Центральний_Союз_Українського_Студентства","15827","","11961","20250321151003","Q12168428"
"241","Квітка_Цісик","15889","","176403","20250405161518","Q1960944"
"242","Чайковський_Петро_Ілліч","15926","","107023","20250527092533","Q7315"
"243","Чорторийські","15949","","26204","20241120095659","Q890246"
"244","Черненко_Костянтин_Устинович","16042","","41614","20250108091807","Q127442"
"245","Світовий_Конґрес_Українців","16102","","80842","20250411052939","Q4127408"
"246","Чижович_Володимир_Володимирович","16155","","12354","20250126013743","Q7964565"
"247","Чижович_Євген_Володимирович","16156","","17975","20250503185134","Q5531131"
"248","Чорній_Святослав","16216","","1502","20220107141436","Q16723492"
"249","Чуковський_Корній_Іванович","16277","","29826","20241104084822","Q347685"
"250","Андрій_Шандро","16339","","5847","20241103040335","Q4758556"
"251","Шевченко_Ігор_Іванович","16440","","15988","20230408133620","Q4522075"
"252","Юрій_Шимко","16592","","5951","20241122135556","Q11808596"
"253","Мирослав_Шкандрій","16633","","8233","20240319193316","Q12171981"
"254","Шостак_Петро","16717","","2562","20230722071104","Q12172241"
"255","Шрамченко_Микола","16750","","6090","20241124022225","Q12172324"
"256","Шрамченко_Святослав_Олександрович","16752","","44619","20241122043859","Q2032897"
"257","Йосиф_(Шумлянський)","16823","","40463","20250309100923","Q4527803"
"258","Щербина_Микола_Федорович","16893","","28450","20250103152517","Q1962542"
"259","Щербинівка_(селище)","16897","","5412","20241122082749","Q4528953"
"260","Юзефович_Михайло_Володимирович","16995","","15141","20250106234003","Q4534220"
"261","Павло_Юзик","16999","","17843","20240708152955","Q7154527"
"262","Рівне","17113","","146900","20250525121337","Q156739"
"263","Яремко_Іван_Юрійович","17355","","11186","20221103063326","Q6265102"
"264","Ясинський_Антон_Микитович","17442","","5141","20250415143841","Q3918581"
"265","Ясінська-Мурована_Марія","17447","","1219","20200517200415","Q12174107"
"266","Зоря_Ясінчук-Ґріффо","17450","","8365","20250226175216","Q12174110"
"267","Ястремський_Юліян","17464","","3624","20250202084023","Q12174095"
"268","Яхно_Павло_Павлович","17482","","6003","20250415064931","Q12174139"
"269","Яців_Іван","17494","","1099","20240308041255","Q12174199"
"270","Богдан_Титла","17590","","6897","20241124023428","Q12161391"
"271","Титла","17592","","667","20230520051728","Q29086680"
"272","Товариство_святого_Рафаїла_для_охорони_руських_емігрантів_з_Галичини_і_Буковини","17706","","4475","20231220171615","Q12161655"
"273","Толстой_Олексій_Костянтинович","17751","","75270","20240510033731","Q212575"
"274","Томашевський_Тома","17763","","7304","20250418130429","Q12161873"
"275","Торбан","17785","","13050","20240324130632","Q2651987"
"276","Торчин_(селище)","17798","","66293","20250428233555","Q2469901"
"277","Трентон","17831","","20750","20250414093003","Q25330"
"278","Юзеф_Третяк","17840","","5569","20240626114925","Q2813717"
"279","Троїцько-Харцизьк","17870","","13444","20250212111444","Q4463576"
"280","Трохименко_Клим","17885","","7420","20241128125525","Q12162531"
"281","Трускавець","17928","","114477","20250519150543","Q157440"
"282","Українська_Громада","18143","","3580","20170407012409","Q12163699"
"283","Українська_Нива","18209","","1413","20151015100815","Q12163729"
"284","Українська_повстанська_армія","18223","","677561","20250518220343","Q737212"
"285","Український_інститут_модерного_мистецтва","18360","","8015","20241019032621","Q3547881"
"286","Улашківці","18453","","28786","20250509152357","Q4470921"
"287","Уряд_Української_Народної_Республіки_в_екзилі","18518","","41325","20250130093743","Q9325466"
"288","Ушинський_Костянтин_Дмитрович","18566","","94712","20250228160952","Q2622325"
"289","Федерація_українських_соціал-демократів_у_Канаді","18599","","9436","20250413135943","Q12165359"
"290","Федик_Теодор","18601","","6513","20250426052719","Q12165394"
"291","Федишин_Олег","18605","","2309","20250117111538","Q12165404"
"292","Тарас_Федорович","18624","","17864","20250521095810","Q267846"
"293","Фізика_в_Україні","18681","","35922","20241117213158","Q12166488"
"294","Філевич_Іван_Порфирович","18693","","8957","20241117220550","Q4483832"
"295","Флис_Іван","18752","","1152","20241212205720","Q12165770"
"296","Українсько-французькі_відносини","18798","","93639","20250227154106","Q16509864"
"297","Херсон","18935","","168713","20250528112322","Q156732"
"298","Мате_(напій)","19059","","10624","20241121190218","Q203540"
"299","Ромни","19175","","106201","20250323133429","Q161994"
"300","Симиренко_Олекса_Володимирович","19556","","2549","20210104074237","Q12152738"
"301","Сімферополь","19574","","69555","20250517164529","Q19566"
"302","Джордж_Вільфрід_Сімпсон","19689","","12174","20250218130747","Q12100812"
"303","Скоропадський_Данило_Павлович","19814","","100542","20250328035232","Q644864"
"304","Слободяник_Олександр_Олександрович","19937","","18293","20250311204048","Q2834037"
"305","Юліуш_Словацький","19942","","62583","20250501092318","Q243267"
"306","Слов'янськ","19972","","137974","20250523115915","Q33581"
"307","Соболевський_Олексій_Іванович","20084","","8960","20240219075123","Q1970676"
"308","Соболь_Микола_Олександрович","20089","","15069","20250128082816","Q15077084"
"309","Сокаль","20130","","52336","20250410190926","Q1000927"
"310","Соломон_Іван","20195","","3364","20241017115613","Q12154428"
"311","Союз_Гетьманців_Державників_у_Північній_Америці","20293","","16310","20250424105756","Q9392384"
"312","Союз_спасіння","20307","","9529","20250413201118","Q2492075"
"313","Спілка_української_молоді","20399","","43002","20250527143743","Q7878528"
"314","Сроковський_Кость","20428","","2743","20250527204253","Q12157071"
"315","Зелений_Клин","20653","","72654","20250214195246","Q2336882"
"316","Владивосток","20657","","62086","20250520191855","Q959"
"317","Сталін_Йосип_Віссаріонович","20752","","174246","20250318124058","Q855"
"318","Стара_Сіль","20780","","29819","20250427121246","Q1019877"
"319","Стара_Україна_(журнал)","20781","","18886","20220704120739","Q12157298"
"320","Стара_Ушиця","20782","","34070","20250402171638","Q1973687"
"321","Стар-Старчевський_Михайло","20824","","2020","20220625085718","Q1528846"
"322","Стефан_(Рудик)","20901","","12733","20250125180526","Q4442449"
"323","Стиранка_Марія","20951","","1484","20230630155041","Q12157948"
"324","Дубно","21000","","163092","20250214091336","Q932184"
"325","Студентство","21111","","93194","20250327033142","Q12158383"
"326","Сурмач-Міллс_Мирослава","21203","","1519","20240308152258","Q12158807"
"327","Сухомлинов_Михайло_Іванович","21232","","2064","20250402074927","Q4447335"
"328","Сушко_Микола","21248","","2273","20240104001934","Q12159016"
"329","Олександр_II_(російський_імператор)","21505","","41169","20250529143055","Q83171"
"330","Альберта","21666","","102093","20250227154211","Q1951"
"331","Ташкент","21762","","53334","20250428090740","Q269"
"332","Тернопільські_театральні_вечори","21871","","47450","20241016130223","Q12160884"
"333","Пряшів","21942","","22559","20250512201527","Q26119"
"334","Рожок_Степан","23120","","8368","20241124125557","Q12148332"
"335","Розвадовський_В'ячеслав_Костянтинович","23125","","16262","20241017131648","Q4396466"
"336","Роздільна","23130","","151426","20250517103658","Q737634"
"337","Роздольський_Роман_Осипович","23135","","42179","20250125232656","Q214953"
"338","Роланд_(легіон)","23170","","114314","20250413130855","Q2469999"
"339","Писанка","23225","","68080","20250419192831","Q3233785"
"340","Російська_Радянська_Федеративна_Соціалістична_Республіка","23297","","18076","20250505113253","Q2184"
"341","Російсько-українські_мовні_зв'язки","23305","","35023","20250125232921","Q16714779"
"342","Росіяни","23309","","131286","20250325143722","Q49542"
"343","Рослицький_Євген_Миколайович","23315","","6452","20240323202844","Q12148832"
"344","Антін_Рудницький","23419","","10867","20241130191945","Q12149196"
"345","Роман_Рудницький","23423","","4657","20241129073828","Q12149200"
"346","Русифікація","23455","","129095","20250303090137","Q332695"
"347","Руски_Новини","23464","","4001","20200817003742","Q12149392"
"348","Підкарпатське_воєводство","23550","","25000","20240809070215","Q54175"
"349","Чорноморське_козацьке_військо","23626","","35446","20250525144704","Q2988374"
"350","Савченко-Більський_Олександр_Васильович","23872","","13504","20250120163524","Q12150030"
"351","Девід_Саміла","23946","","1712","20230614071900","Q12099782"
"352","Самчук_Улас_Олексійович","23980","","62365","20250510081846","Q2379444"
"353","Григор_Орлик","24014","","85588","20241107102602","Q4336542"
"354","Саскатун","24033","","22481","20250404101302","Q10566"
"355","Саскачеван","24036","","32920","20241022191645","Q1989"
"356","Сватове","24061","","63746","20250412163218","Q2414524"
"357","Свидник","24075","","9698","20250413161324","Q833845"
"358","Світ_Іван_Васильович","24096","","24374","20240902042212","Q12151237"
"359","Святловський_Володимир_Володимирович","24212","","20837","20230131064159","Q4411343"
"360","Секта","24245","","30963","20250223175659","Q19097"
"361","Квебек","24256","","34717","20230908125745","Q176"
"362","Сербин","24381","","3918","20250427093634","Q4416685"
"363","Океанія","24523","","56365","20250320180442","Q538"
"364","Герб_України","24653","","96245","20250408151215","Q199433"
"365","Єкатеринбург","25002","","46928","20250125150202","Q887"
"366","Боб_Ділан","25199","","415466","20250422203504","Q392"
"367","Достоєвський_Федір_Михайлович","25207","","114747","20250125180243","Q991"
"368","Повстання_Федоровича","25324","","11184","20250121181824","Q2066991"
"369","Станіслав_Жолкевський","25447","","22776","20250105111149","Q453523"
"370","Кубізм","25560","","22274","20241225102816","Q42934"
"371","Виграненко_Ростислав","25854","","5592","20250520112841","Q2361599"
"372","Російсько-японська_війна","26544","","32188","20250405182146","Q159950"
"373","Шевченко","27478","","74711","20250514055216","Q1122456"
"374","Битва_під_Берестечком","27748","","56644","20250424191850","Q593045"
"375","Нижній_Березів","28440","","132833","20250222165029","Q4319084"
"376","Володимир","29009","","68416","20250129104713","Q55006123"
"377","Писаржевський_Лев_Володимирович","29278","","19841","20240914035202","Q1985211"
"378","Кременець","29972","","123618","20250528155717","Q849116"
"379","Васильків","30071","","105155","20250413170426","Q997421"
"380","Прелесне_(Краматорський_район)","30135","","20914","20250306103915","Q4376898"
"381","Короп_(селище)","30856","","61817","20250309110924","Q1493180"
"382","Молодість_(кінофестиваль)","30943","","49245","20250401081343","Q1807073"
"383","Охтирка","30972","","53824","20250528112743","Q1013471"
"384","Розумовський_Андрій_Кирилович","30992","","31077","20250413130308","Q502943"
"385","Юрій_Тарнавський","31082","","76619","20241122135351","Q2365467"
"386","Буковина","31324","","154018","20250218095040","Q105206"
"387","Ківерці","31330","","26318","20250322144410","Q148890"
"388","Українофобія","31657","","249727","20250304100545","Q2387047"
"389","Лемки","31768","","73512","20250320153620","Q837881"
"390","Москвофільство","31871","","57911","20250125170612","Q7215510"
"391","Русинська_мова","31887","","161499","20250425152101","Q26245"
"392","Павло_I","31943","","18797","20250412154021","Q15189"
"393","Паскевич_Іван_Федорович","31951","","18956","20250306202439","Q126656"
"394","Підляшшя","32127","","84538","20250505150023","Q931565"
"395","Петриківський_розпис","33060","","126490","20250327142725","Q12140171"
"396","Полонне","33666","","61772","20250426134739","Q997351"
"397","Меджибіж","33707","","48638","20250203141443","Q1022485"
"398","Малин","34102","","61551","20250521124812","Q148997"
"399","Плагіат","34250","","58260","20250414173229","Q164666"
"400","2006","34545","","37948","20250425140838","Q2021"
"401","Висоцький_Володимир_Семенович","35851","","53227","20250228154846","Q512"
"402","Борис_Вжесневський","36706","","13928","20240308053109","Q2911380"
"403","Роман_Гнатишин","36767","","12134","20250301151330","Q509426"
"404","Равич","36809","","1734","20240326205635","Q56369078"
"405","Клевань","37137","","136600","20250309104337","Q250591"
"406","Макаренко_Антон_Семенович","37662","","61436","20250427103820","Q297448"
"407","Воробкевич_Сидір_Іванович","37670","","26731","20250301145535","Q695400"
"408","Марковичі","37805","","10631","20240119132551","Q4281873"
"409","Толстой_Олексій_Миколайович","38821","","18914","20250219160627","Q192279"
"410","Янгель_Михайло_Кузьмич","38824","","29908","20250126020547","Q463450"
"411","Булгаков_Михайло_Опанасович","39503","","131401","20250514114237","Q835"
"412","Гурзуф","39703","","32566","20241029095030","Q1026062"
"413","Тереза_Сокирка","39879","","5430","20250126002955","Q7782895"
"414","Маяковський_Володимир_Володимирович","40679","","40185","20250505144343","Q132964"
"415","Тарковський_Андрій_Арсенійович","40823","","44881","20250518170805","Q853"
"416","Бойки","41191","","31948","20250405162443","Q891187"
"417","Люди,_пов'язані_зі_Львовом","41564","","51776","20241103152244","Q1482141"
"418","Серж_Лифар","42260","","39422","20250214225303","Q360420"
"419","Рясники","42407","","14466","20240922225347","Q4402765"
"420","Оленська-Петришин_Аркадія_Іванівна","42959","","13467","20241124022027","Q12135699"
"421","Арнольд_Володимир_Ігорович","43868","","14950","20230802153921","Q157642"
"422","Російська_греко-католицька_церква","43966","","34901","20250411175605","Q64852"
"423","Бойчук_Іван_Михайлович","44289","","1262","20211118192839","Q12083663"
"424","Георгій_(Кониський)","44331","","13274","20250110065214","Q2452404"
"425","Стародубщина","44406","","25180","20250215064319","Q4440245"
"426","Ніжинський_державний_університет_імені_Миколи_Гоголя","44869","","33798","20250412092949","Q7042257"
"427","Литвин","45176","","15469","20250511072029","Q4263574"
"428","Мілла_Йовович","45181","","49330","20250502094834","Q170576"
"429","Оранжлав","45840","","22957","20240818131304","Q3355091"
"430","Іду_до_тебе…","46037","","11474","20250323105610","Q12073971"
"431","Боярка","47112","","74197","20250525120310","Q891175"
"432","Костянтинівка","47430","","61925","20250309111513","Q165243"
"433","Русифікація_України","47493","","171596","20250215050127","Q2387671"
"434","Львівський_національний_академічний_театр_опери_та_балету_імені_Соломії_Крушельницької","47682","","73492","20241208193333","Q1246092"
"435","Українсько-румунські_мовні_контакти","48603","","9250","20250306185521","Q12164278"
"436","Зощенко_Михайло_Михайлович","48723","","23736","20240406111814","Q360507"
"437","Столяр_Олена_(Галина)_Теодорівна","49415","","10218","20241113005428","Q12158011"
"438","Бар_(Україна)","50313","","138891","20250525115834","Q737925"
"439","Ельбрус","50742","","37656","20250125181242","Q43105"
"440","Надвірна","50948","","44962","20250409154701","Q156820"
"441","Гавриляк_Вільям","51296","","7078","20240613222349","Q8011042"
"442","Зварич_Роман_Михайлович","51381","","27319","20250412063134","Q966820"
