PersonName,BirthPlace,Description,WikipediaURL,WikiText,embedding_text,cluster,cluster_prob,x,y,cluster_label
Єлизавета (Гальшка) Острозька,Острог,"княгиня, яка походила з давньоукраїнського князівського роду Острозьких, меценатка культури, засновниця Острозької академії",https://uk.wikipedia.org/wiki/Єлизавета_(Гальшка)_Острозька,"єлизавета (гальшка) острозька княгиня, яка походила з давньоукраїнського князівського роду острозьких, меценатка культури, засновниця острозької академії єлизавета  (також галшка, гальшка, галжбета від ст.-укр. форм імені єлизавета, галъшка, алжка, (г)алжбѣта) іллівна острозька (19 червня/листопада 1539, острог — наприкінці грудня 1582, дубно/закриниччя на поділлі) — княгиня, яка походила з давньоукраїнського князівського роду острозьких, меценатка культури, засновниця острозької академії.",Княгиня яка походила з давньоукраїнського князівського роду Острозьких меценатка культури засновниця академії,34,0.9279209712593822,-5.2585206,9.674211,34
Іван Вишенський,Судова Вишня,"український монах, релігійний письменник-полеміст",https://uk.wikipedia.org/wiki/Іван_Вишенський,"іван вишенський український монах, релігійний письменник-полеміст іва́н ви́шенський (близько 1550 — після 1621) — український релігійний і літературний діяч раннього нового часу, преподобний. православний монах, письменник-полеміст консервативного, ортодоксального напрямку.
родом зі львівщини, з містечка судова вишня. у 1570-х рр. став ченцем афонського монастиря в греції, де прожив 40 років. у 1604–1606 роках відвідав...",Монах релігійний письменник-полеміст,20,0.4820674103032315,9.592949,18.32927,20
Лобода Григорій,Київське воєводство,23-й гетьман Війська Запорозького,https://uk.wikipedia.org/wiki/Григорій_Лобода,"лобода григорій 23-й гетьман війська запорозького (1593-1596) григо́рій лобода́ (12 квітня 1557, київщина — 1596, поблизу лубен) — український державний і військовий діяч, гетьман війська запорозького (1593—1594, 1594 - 1595, 1595 - 1596, 1596 роки). керівник походів на молдову та угорщину та один із лідерів у війні 1591 - 1599 років війська запорозького проти речі посполитої.",23-й гетьман Війська Запорозького,23,1.0,17.451677,2.9824197,23
Йов Борецький,Бірча,"український церковний, політичний і освітній діяч, митрополит Київський, Галицький і всієї Руси",https://uk.wikipedia.org/wiki/Йов_(Борецький),"йов борецький український церковний, політичний і освітній діяч, митрополит київський, галицький і всієї руси йо́в боре́цький (в миру іва́н боре́цький) (1560(1560) — 2 (12) березня 1631) — український православний церковний діяч, полеміст, письменник. митрополит київський, галицький і всієї русі (1620—1631). ректор львівської братської школи, перший ректор київської братської школи. представник шляхетського роду борецьких гербу голобок. народився у бірчі, руське...",Церковний політичний і освітній діяч митрополит Київський Галицький всієї Руси,20,0.743461431861471,10.880497,20.247143,20
Шимон Ніклевич,Львів,"церковний діяч, священник-єзуїт, педагог, ректор Віленської єзуїтської академії і університету",https://uk.wikipedia.org/wiki/Шимон_Ніклевич,"шимон ніклевич церковний діяч, священник-єзуїт, педагог, ректор віленської єзуїтської академії і університету шимон ніклевич (пол. szymon niklewicz; бл. 1571, львів — 24 листопада 1632, пултуськ) — церковний діяч речі посполитої, священик-єзуїт, педагог, ректор віленської єзуїтської академії і університету в 1611—1614 і 1625—1629 роках.",Церковний діяч священник-єзуїт педагог ректор Віленської єзуїтської академії і університету,20,0.4264478698386033,10.942126,19.795532,20
Юрій Збаразький,Антонівці,"князь литовсько-руського походження, військовик, державний діяч Речі Посполитої",https://uk.wikipedia.org/wiki/Юрій_Збаразький_(каштелян),"юрій збаразький князь литовсько-руського походження, військовик, державний діяч речі посполитої юрій збаразький гербу корибут (близько 1573/1574 — 12/30 липня 1631, краків) — руський князь, військовий та державний діяч речі посполитої, меценат. останній з роду князів збаразьких.",Князь литовсько-руського походження військовик державний діяч Речі Посполитої,37,0.7755874196602072,15.229318,12.588991,37
Йосафат Кунцевич,Володимир,"український церковний діяч, греко-католицький архієпископ полоцький",https://uk.wikipedia.org/wiki/Йосафат_(Кунцевич),"йосафат кунцевич український церковний діяч, греко-католицький архієпископ полоцький йосафа́т кунце́вич (іва́н гаври́лович кунце́вич (початково — кунчич чи кунчиць) гербу ружа; пол. jozafat (jan) kuncewicz lub kunczyc herbu róża; 1580, володимир — 12 листопада 1623, вітебськ) — шляхтич, єпископ української греко-католицької церкви; з 1618 року — архієпископ полоцький, засновник монашого ордену василіян (чсвв).
беатифікований 16 травня...",Церковний діяч греко-католицький архієпископ полоцький,20,0.6486065671274139,11.348154,22.032343,20
Богдан Хмельницький,Жовква,"український військовий, політичний і державний діяч, гетьман Війська Запорозького",https://uk.wikipedia.org/wiki/Богдан_Хмельницький,"богдан хмельницький український військовий, політичний і державний діяч, гетьман війська запорозького богда́н (зино́вій-богда́н) миха́йлович хмельни́цький (27 грудня 1595 (6 січня 1596)(15960106), суботів, річ посполита — 27 липня (6 серпня) 1657, чигирин, гетьманщина) — видатний український козацький політичний, державний та військовий діяч, полководець, гетьман війська запорозького та провідник національно-визвольної війни (1648—1657), у результаті...",Військовий політичний і державний діяч гетьман Війська Запорозького,37,1.0,14.934455,12.285605,37
Яків Клиша,Біла Церква,"український політичний та військовий діяч, кошовий отаман війська Запорозького",https://uk.wikipedia.org/wiki/Яків_Клиша,"яків клиша український політичний та військовий діяч, кошовий отаман війська запорозького яків клиша (клишенко, клишевський) відомий також як яцина (*д/н — бл.1654) — український політичний та військовий діяч, кошовий отаман війська запорозького у 1628 році, білоцерківський полковник у 1632, 1637 роках, військовий та генеральний суддя (1654).",Політичний та військовий діяч кошовий отаман війська Запорозького,37,1.0,14.787634,12.299318,37
Ян-Стефан Виджга,Львів,"католицький священник, Річ Посполита",https://uk.wikipedia.org/wiki/Ян_Стефан_Виджга,"ян-стефан виджга католицький священник, річ посполита я́н сте́фан ви́джга (пол. jan stefan wydżga; 1610(1610)—6 вересня 1685) — державний діяч речі посполитої, єпископ римо-католицької церкви. гнезненський архієпископ, примас королівства польського і великого князівства литовського (17 липня 1679—1685). представник шляхетського роду виджг герба ястржембец.",Католицький священник Річ Посполита,20,1.0,11.229387,22.77889,20
Марія Магдалина Мазепа,Біла Церква,"українська ігуменя, меценатка, вишивальниця та політична діячка",https://uk.wikipedia.org/wiki/Марія_Магдалина_Мазепа,"марія магдалина мазепа українська ігуменя, меценатка, вишивальниця та політична діячка марина мокієвська (макієвська), у шлюбі мазепа, у чернецтві марія магдалина, пол. mazepa maryna (mariya magdalena); бл. 1624, білоцерківщина, київське воєводство — 1707, київ, імовірно похована на території києво-печерського вознесенського дівочого монастиря) — українська ігуменя, меценатка, вишивальниця та політична діячка. ігуменя києво-печерського...",Ігуменя меценатка вишивальниця та політична діячка,34,1.0,-6.8889017,9.144203,34
Венедикт Терлецький,Острог,"церковний діяч, священник-василіянин, протоігумен з правами протоархимандрита",https://uk.wikipedia.org/wiki/Венедикт_Терлецький,"венедикт терлецький церковний діяч, священник-василіянин, протоігумен з правами протоархимандрита венедикт терлецький чсвв (лат. benedictus terleckyj; 1623, острог — вересень 1661) — церковний діяч, священник-василіянин, доктор філософії і богослов'я, педагог, у 1656–1661 роках був протоігуменом із правами протоархимандрита конґреґації пресвятої тройці.",Церковний діяч священник-василіянин протоігумен з правами протоархимандрита,21,1.0,15.605322,22.53345,21
Марія Магдалина Мазепа,Біла Церква,"українська ігуменя, меценатка, вишивальниця та політична діячка",https://uk.wikipedia.org/wiki/Марія_Магдалина_Мазепа,"марія магдалина мазепа українська ігуменя, меценатка, вишивальниця та політична діячка марина мокієвська (макієвська), у шлюбі мазепа, у чернецтві марія магдалина, пол. mazepa maryna (mariya magdalena); бл. 1624, білоцерківщина, київське воєводство — 1707, київ, імовірно похована на території києво-печерського вознесенського дівочого монастиря) — українська ігуменя, меценатка, вишивальниця та політична діячка. ігуменя києво-печерського...",Ігуменя меценатка вишивальниця та політична діячка,34,1.0,-7.13479,9.432421,34
Маруся Чурай,Полтава,українська народна співачка та поетеса,https://uk.wikipedia.org/wiki/Маруся_Чурай,"маруся чурай українська народна співачка та поетеса мару́ся чура́й (1625–1653) — напівлегендарна українська народна співачка та поетеса часів хмельниччини, яка, за переказами, жила в полтаві. їй приписують авторство низки відомих у народі пісень: «ой не ходи, грицю», «котилися вози з гори», «засвистали козаченьки» тощо.
починаючи з 1960-х років щодо історичності постаті марусі чурай тривають дискусії...",Народна співачка та поетеса,27,1.0,-6.253213,3.6849456,27
Ян III Собеський,Олесько,"правитель Республіки Обидвох Націй, король Польщі, великий князь литовський, руський, великий коронний маршалок, польний гетьман коронний, великий коронний гетьман, яворівський староста",https://uk.wikipedia.org/wiki/Ян_III_Собеський,"ян iii собеський правитель республіки обидвох націй (речі посполитої), король польщі, великий князь литовський, руський, великий коронний маршалок, польний гетьман коронний, великий коронний гетьман, яворівський староста ян iii собе́ський (пол. jan iii sobieski; 17 серпня 1629, олесько — 17 червня 1696) — монарх речі посполитої (республіки обох народів), король польський, великий князь литовський, великий князь руський з 1674 року, великий коронний маршалок з 1665 року, польний гетьман коронний з 1666 року, великий коронний гетьман з 1668 року. своїм військовим талантом...",Правитель Республіки Обидвох Націй король Польщі великий князь литовський руський коронний маршалок польний гетьман яворівський староста,37,0.8484162765426877,14.412197,13.076273,37
Дмитро Юрій Вишневецький,Білокриниця,"польський аристократ гербу Корибут, князь, державний діяч Речі Посполитої",https://uk.wikipedia.org/wiki/Дмитро_Юрій_Вишневецький,"дмитро юрій вишневецький польський аристократ гербу корибут, князь, державний діяч речі посполитої. |місце_поховання= 
дмитро юрій вишневецький (полонізоване димітр єжи пол. dymitr jerzy; (19 грудня 1631 — 28 липня 1682) — руський аристократ гербу корибут, князь, державний діяч речі посполитої.",Аристократ гербу Корибут князь державний діяч Речі Посполитої,37,0.8851516804295927,14.863562,12.285275,37
Селім I Ґерай,,"кримськотатарський державний, політичний і військовий діяч",https://uk.wikipedia.org/wiki/Селім_I_Ґерай,"селім i ґерай кримськотатарський державний, політичний і військовий діяч се́лім i (хаджі селім ґерай) (1631 — 22 грудня 1704) — кримськотатарський державний, політичний і військовий діяч. кримський хан (1671—1678, 1684—1691, 1692—1699 і 1702—1704) з династії ґераїв. син бахадира і ґерая, онук селямета i ґерая.",Державний політичний і військовий діяч,37,0.8783267375981858,15.255719,11.923697,37
Тиміш Хмельницький,Суботів,"козацький отаман, один із учасників і керівників Хмельниччини, старший син Богдана Хмельницького",https://uk.wikipedia.org/wiki/Тиміш_Хмельницький,"тиміш хмельницький козацький отаман, один із учасників і керівників хмельниччини, старший син богдана хмельницького ти́міш богда́нович хмельни́цький (1632, суботів — 22 вересня (15 вересня) 1653, сучава) — український військовий і політичний діяч, козацький отаман, один із учасників і керівників хмельниччини. старший син гетьмана богдана хмельницького. в джерелах також зустрічається як тіміш (тимош) хмельниченко.",Козацький отаман один із учасників і керівників Хмельниччини старший син Богдана Хмельницького,23,0.8614621752373712,17.134275,4.8586307,23
Гедеон (Святополк-Четвертинський),,"православний митрополит Київський, Галицький та Малої Русі",https://uk.wikipedia.org/wiki/Гедеон_(Святополк-Четвертинський),"гедеон (святополк-четвертинський) православний митрополит київський, галицький та малої русі митрополит гедео́н (світське ім'я григорій святопо́лк-четверти́нський; пом. 6 квітня 1690, київ, гетьманщина) — князь з роду святополк-четвертинських, український державний та релігійний діяч. єпископ луцький і острозький константинопольського патріархату. у 1685 році — з порушенням церковних канонів обраний єпископом московської православної церкви...",Православний митрополит Київський Галицький та Малої Русі,20,0.7622947593238224,10.140919,21.76099,20
Іван Мазепа,Біла Церква,"український військовий, політичний і державний діяч, гетьман Війська Запорозького, національний герой України",https://uk.wikipedia.org/wiki/Іван_Мазепа,"іван мазепа український військовий, політичний і державний діяч, гетьман війська запорозького, національний герой україни іван степа́нович мазе́па (коледи́нський) (20 березня [30 березня] 1639, мазепинці або ж, за іншими даними, 29 серпня [8 вересня] 1639, біла церква — 21 вересня [2 жовтня] 1709 за іншими джерелами, у ніч з 21 на 22 вересня [3 жовтня], варниця) — український військовий, політичний і державний діяч. гетьман війська запорозького, голова козацької держави...",Військовий політичний і державний діяч гетьман Війська Запорозького національний герой України,37,0.7891107305279093,14.940496,12.432382,37
Драний Семен Олексійович,Барвінкове,"донський отаман, один з керівників Булавінського повстання",https://uk.wikipedia.org/wiki/Драний_Семен_Олексійович,"драний семен олексійович донський отаман, один з керівників булавінського повстання семе́н олексі́йович дра́ний (1667—1708) — донський отаман, один з ватажків булавінського повстання проти московського царства.
за деякими даними, семен олексійович драни походив з міста барвінкове (зараз — харківська область). на початку виступу булавіна він був отаманом старо-айдарської станиці (зараз — село старий айдар, станично-луганського району...",Донський отаман один з керівників Булавінського повстання,23,1.0,17.069818,4.2483253,23
Квітка Григорій Семенович,,український козацький полковник,https://uk.wikipedia.org/wiki/Квітка_Григорій_Семенович,"квітка григорій семенович український козацький полковник григорій семенович квітка (1669—1734 роки) — український козацький полковник. полковник харківського козацького полку, зі старшинського роду квіток.",Козацький полковник,23,1.0,17.652843,2.3417537,23
Степанос Рошка,Кам'янець-Подільський,"доктор філософії та богословя, історик",https://uk.wikipedia.org/wiki/Степанос_Рошка,"степанос рошка доктор філософії та богослов'я, історик степанос рошка (вірм. ստեփանոս ռոշքա, пол. stefano roska; 1670, кам'янець-подільський — 1739, станіслав) — доктор філософії та богослов'я, історик. вірменин за походженням.",Доктор філософії та богословя історик,32,0.43395727260574724,8.975616,4.050117,32
Пилип Орлик,Косута,"український політичний, державний і військовий діяч, Гетьман Війська Запорозького у вигнанні, поет, публіцист",https://uk.wikipedia.org/wiki/Пилип_Орлик,"пилип орлик український політичний, державний і військовий діяч, гетьман війська запорозького у вигнанні (1710-1742), поет, публіцист о́рлик пили́п степанович (лат. philippus orlik, ст.-укр. филиппъ орликъ; 11 (21) жовтня 1672, косута — 24 травня 1742, ясси) — український політичний, державний і військовий діяч, генеральний писар (1702—1709), гетьман війська запорозького у вигнанні (1710—1742), поет, публіцист. представник шляхетського роду орликів (чеського походження), які користалися...",Політичний державний і військовий діяч Гетьман Війська Запорозького у вигнанні поет публіцист,37,1.0,14.394323,12.530082,37
Юзеф Потоцький,Івано-Франківськ,"військовий, політичний і державний діяч Речі Посполитої",https://uk.wikipedia.org/wiki/Юзеф_Потоцький_(гетьман),"юзеф потоцький військовий, політичний і державний діяч речі посполитої юзеф потоцький на станиславові, збаражі та немирові, або на підгайцях гербу срібна пилява (пол. józef potocki; до 14 травня 1673 — 19 травня 1751, залозецький замок) — військовий, політичний і державний діяч речі посполитої, представник польського шляхетського роду потоцьких. магнат, меценат.",Військовий політичний і державний діяч Речі Посполитої,37,0.9011284937721947,14.789477,11.875772,37
Михайло Сервацій Вишневецький,Львів,державний і військовий діяч Великого князівства Литовського,https://uk.wikipedia.org/wiki/Михайло_Сервацій_Вишневецький,"михайло сервацій вишневецький державний і військовий діяч великого князівства литовського князь михайло сервацій корибут вишневецький (пол. michał serwacy wiśniowiecki; 13 травня 1680, львів — 16 вересня 1744, мереч) — польський магнат з династії вишневецьких, державний і військовий діяч речі посполитої.",Державний і військовий діяч Великого князівства Литовського,37,0.9011284937721947,14.912383,12.4770565,37
Веніамін,,"український релігійнийдіяч, також відомий за прізвищем Сахновський",https://uk.wikipedia.org/wiki/Веніамін_(Сахновський),"веніамін український релігійнийдіяч, також відомий за прізвищем сахновський єпи́скоп веніамі́н (сахно́вський; 1689 — † 8 квітня 1743, воронеж) — український релігійний діяч у румунії, комі, сетумаа та московії. також духовний перекладач, єпископ російської православної церкви (безпатріаршої); єпископ воронезький та єлецький  рпц (б) (1742–1743), вятський та великопермський рпц (б) (1739–1742), коломенський та каширський рпц...",Релігійнийдіяч також відомий за прізвищем Сахновський,20,0.4820674103032315,9.55774,19.296633,20
Пилип (Володкович),,"український і білоруський релігійний діяч, єпископ Української греко-католицької церкви",https://uk.wikipedia.org/wiki/Пилип_(Володкович),"пилип (володкович) український і білоруський релігійний діяч, єпископ української греко-католицької церкви митрополи́т пили́п володко́вич (у світі феліція́н володкович, біл. фэліцыян піліп валадковіч, пол. felicjan filip wołodkowicz; 6 червня 1698, новосілки — 12 лютого 1778, цумань) — український і білоруський релігійний діяч, єпископ руської унійної церкви; з 18 липня 1762 року — митрополит київський, галицький та всієї руси, настоятель угкц. представник...",Релігійний діяч єпископ Української греко-католицької церкви,20,0.9012367841239822,10.132918,21.017776,20
Баал Шем Тов,Окопи,"єврейський цадик, засновник хасидського руху",https://uk.wikipedia.org/wiki/Баал_Шем_Тов,"баал шем тов єврейський цадик, засновник хасидського руху баал шем тов (івр. בעל שם טוב, дослівно єврейською: володар доброго імені, скорочено бешт, справжнє ім'я ісраель бен еліезер; 25 серпня 1698, с. окопи, нині борщівський район, тернопільська область — 22 травня 1760, меджибіж, нині хмельницький район, хмельницька область) — єврейський цадик (з івриту — праведник); засновник хасидського руху, однієї з...",Єврейський цадик засновник хасидського руху,19,1.0,3.263597,14.88975,19
Антоніна Немирич,Оженин,польсько-українська письменниця і поетеса,https://uk.wikipedia.org/wiki/Антоніна_Немирич,антоніна немирич польсько-українська письменниця і поетеса антоніна немирич (1702 — 1780) — польськомовна поетеса і перекладачка часів речі посполитої. підписувалася псевдонимом a.z.i.n.l.o. (антоніна з єловицьких немиричова литовська обозна).,Польсько-українська письменниця і поетеса,33,1.0,-2.6277835,8.7695875,33
Михайло Казимир Радзивілл,Олика,"князь, магнат, державний і військовий діяч Великого Князівства Литовського Речі Посполитої",https://uk.wikipedia.org/wiki/Михайло_Казимир_Радзивілл_(Рибонька),"михайло казимир радзивілл князь, магнат, державний і військовий діяч великого князівства литовського речі посполитої. михайло казимир радзивілл «рибонька» (біл. міхал казімір радзівіл «рыбанька», пол. michał kazimierz radziwiłł rybeńko; 13 червня 1702, олика — 15 травня, несвіж / 22 травня, вільнюс 1762) — князь, магнат, державний і військовий діяч великого князівства литовського речі посполитої. представник роду радзивіллів. гетьман великий литовський, власник несвізького...",Князь магнат державний і військовий діяч Великого Князівства Литовського Речі Посполитої,37,0.7917551527156848,14.84827,12.46045,37
